"site_code","year","tag","date","field_team","unhealthy","cow","n_small_trees","n_medium_trees","n_small_dead","n_medium_dead","n_dead_down","n_standing_dead","site_notes","n_aspen_trees_surveyed","n_tree_species","plot_radius_m","plot_area_m2","n_adult_dead","n_adult_damaged","n_standing","n_fallen","n_standing_dead_full_survey","n_alive","dbh_center_live","dbh_mean_live","basal_area_live_m2","basal_area_density_live","plot_area_m2_derived","n_standing_in_previous_survey","n_still_standing_in_current_year","n","FRACTION_STANDING_AFTER_NUM_YEARS","pfailure","expected_fallen_dead","n_adult_dead_w_background_mortality_estimate","n_adult_dead_or_damaged","n_adult_dead_per_m2","n_adult_damaged_per_m2","n_adult_dead_or_damaged_per_m2","n_standing_dead_per_m2","n_adult_dead_w_background_mortality_estimate_per_m2","frac_adult_dead","frac_adult_damaged","frac_adult_dead_or_damaged","frac_standing_dead","frac_adult_dead_w_background_mortality_estimate","frac_adult_dead_per_m2","frac_adult_damaged_per_m2","frac_adult_dead_or_damaged_per_m2","frac_standing_dead_per_m2","frac_adult_dead_w_background_mortality_estimate_per_m2"
"ABEY",2018,34,2018-06-25,NA,NA,NA,15,2,NA,NA,NA,2,NA,11,1,4.3,58.0880481648753,2,0,11,0,2,9,26.7,16.6222222222222,0.231411285659751,0.00398380205516495,58.0880481648753,NA,NA,NA,NA,NA,NA,2,2,0.0344304906634711,0,0.0344304906634711,0.0344304906634711,0.0344304906634711,0.181818181818182,0,0.181818181818182,2,0.181818181818182,0.0031300446057701,0,0.0031300446057701,0.0344304906634711,0.0031300446057701
"ABPZ",2018,76,2018-06-27,NA,NA,NA,1,0,NA,NA,NA,1,"Half canopy gone after sampling; Site very wet",11,1,5.4,91.6088417786784,1,2,11,0,1,10,11.5,20.11,0.398954778070185,0.00435498113854595,91.6088417786784,NA,NA,NA,NA,NA,NA,1,3,0.0109159768924482,0.0218319537848965,0.0327479306773447,0.0109159768924482,0.0109159768924482,0.0909090909090909,0.181818181818182,0.272727272727273,1,0.0909090909090909,0.000992361535677113,0.00198472307135423,0.00297708460703134,0.0109159768924482,0.000992361535677113
"ABPZ",2023,76,2023-07-14,"MB HL",0,0,2,0,0,0,3,1,NA,1,1,NA,NA,1,NA,1,0,0,1,13.3,NA,0.0138929081123375,NA,91.6088417786784,11,11,5,NA,NA,0.767023423802733,1.76702342380273,NA,0.0109159768924482,NA,NA,0.0109159768924482,0.0192887868626454,0.0909090909090909,NA,NA,0.0909090909090909,0.160638493072976,0.000992361535677113,NA,NA,0.000992361535677113,0.00175352607842231
"ABVE",2018,221,2018-07-06,NA,NA,NA,0,0,NA,NA,NA,0,NA,11,1,5.6,98.5203456165759,0,0,11,0,0,11,17.1,18.4,0.310214995782397,0.00314874043367347,98.5203456165759,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABVE",2023,221,2023-07-10,"HL, VM",0,0,0,0,0,0,2,0,NA,1,1,NA,NA,0,NA,1,0,0,1,18.4,NA,0.026590440219984,NA,98.5203456165759,11,11,5,NA,NA,0.767023423802733,0.767023423802733,NA,0,NA,NA,0,0.0077854317197369,0,NA,NA,0,0.0697294021638848,0,NA,NA,0,0.000707766519976082
"ACFL",2018,31,2018-06-25,NA,NA,NA,7,1,NA,NA,NA,0,NA,11,1,4.1,52.8101725068444,0,0,11,0,0,11,11.9,15.0545454545455,0.219862791065155,0.00416326591314694,52.8101725068444,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACGNT01",2018,497,2018-08-08,NA,0,0,34,0,NA,NA,NA,0,"Avery campground near trail",7,1,6.5,132.732289614169,0,0,7,0,0,7,36.3,33.2571428571429,0.634303264723047,0.00477881656804734,132.732289614169,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACGNT01",2020,534,2020-08-14,"Ben and Erin",0,0,51,0,11,0,5,0,"New tag, campground near",7,1,6.3,124.689812420979,0,0,7,0,0,7,36.2,33.6571428571429,0.647248197252164,0.00519086671705719,124.689812420979,7,7,2,1,0,0.199485703512198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACGNT01",2023,534,2023-06-26,"EC CP",0,0,63,15,0,0,5,0,"lots of regen!",1,1,NA,NA,0,NA,1,0,0,1,37.5,NA,0.110446616727766,NA,132.732289614169,7,7,3,NA,NA,0.297086469252539,0.297086469252539,NA,0,NA,NA,0,0.00223823811158627,0,NA,NA,0,0.0270078608411399,0,NA,NA,0,0.000203476191962388
"AEBVG",2018,419,2018-07-24,NA,0,0,14,17,NA,NA,NA,0,NA,11,1,5.4,91.6088417786784,0,2,11,0,0,11,25.2,14.2363636363636,0.221787016565479,0.0024210219478738,91.6088417786784,NA,NA,NA,NA,NA,NA,0,2,0,0.0218319537848965,0.0218319537848965,0,0,0,0.181818181818182,0.181818181818182,0,0,0,0.00198472307135423,0.00198472307135423,0,0
"AEBVG",2020,419,2020-07-31,"Aidan + Courtenay",0,0,14,19,5,3,3,0,"dist & azi shot to 130 on stem. Nail coming out, re-nailed in",13,1,5.6,98.5203456165759,0,1,13,0,0,13,25.2,13.1307692307692,0.23197284534658,0.00235456792091837,98.5203456165759,11,11,2,1,0,0.313477534090597,0,1,0,0.0101501876971872,0.0101501876971872,0,0,0,0.0769230769230769,0.0769230769230769,0,0,0,0.0007807836690144,0.0007807836690144,0,0
"AEBVG",2023,419,2023-07-19,"EC, BW",0,0,17,20,0,4,4,0,NA,1,1,NA,NA,0,NA,1,0,0,1,25.2,NA,0.0498759249683915,NA,91.6088417786784,13,13,3,NA,NA,0.551732014326143,0.551732014326143,NA,0,NA,NA,0,0.0060226939192081,0,NA,NA,0,0.0501574558478312,0,NA,NA,0,0.000547517629018918
"AFOG",2018,113,2018-06-28,NA,NA,NA,7,1,NA,NA,NA,2,NA,10,1,6.7,141.026094219646,2,1,10,0,2,8,33.5,27.15,0.497290555118362,0.00352623078636667,141.026094219646,NA,NA,NA,NA,NA,NA,2,3,0.0141817726078766,0.00709088630393831,0.0212726589118149,0.0141817726078766,0.0141817726078766,0.2,0.1,0.3,2,0.2,0.00141817726078766,0.000709088630393831,0.00212726589118149,0.0141817726078766,0.00141817726078766
"AFOG",2023,113,2023-07-14,"MB HL",1,0,0,4,2,1,2,3,"orange stained; one tree with flaky bark",1,1,NA,NA,3,NA,1,0,0,1,34.6,NA,0.0940247265292889,NA,141.026094219646,10,10,5,NA,NA,0.697294021638848,3.69729402163885,NA,0.0212726589118149,NA,NA,0.0212726589118149,0.0262170915396719,0.272727272727273,NA,NA,0.272727272727273,0.336117638330804,0.00193387808289227,NA,NA,0.00193387808289227,0.00238337195815199
"AGXLZ",2018,327,2018-07-16,NA,NA,NA,4,1,NA,NA,NA,1,"GROUND NESTING BEES AT ~270 DEGREES, 2M FROM CENTER TREE",11,1,3.6,40.7150407905237,1,0,11,0,1,10,19,18.3,0.278623140057898,0.00684324845679012,40.7150407905237,NA,NA,NA,NA,NA,NA,1,1,0.0245609480080085,0,0.0245609480080085,0.0245609480080085,0.0245609480080085,0.0909090909090909,0,0.0909090909090909,1,0.0909090909090909,0.0022328134552735,0,0.0022328134552735,0.0245609480080085,0.0022328134552735
"AGXLZ",2020,327,2020-07-17,"Gavin, Courtenay, Aiden",0,0,3,1,2,0,10,1,"YELLOW JACKET NEST AT 270 DEGREES, ~2M FROM FOCAL (CONFIRMED 2020)",11,1,3.4,36.316811075498,1,1,11,0,1,10,19.5,18.64,0.289147475447424,0.00796180795847751,36.316811075498,11,11,2,1,0,0.313477534090597,1,2,0.0275354572823348,0.0275354572823348,0.0550709145646697,0.0275354572823348,0.0275354572823348,0.0909090909090909,0.0909090909090909,0.181818181818182,1,0.0909090909090909,0.00250322338930317,0.00250322338930317,0.00500644677860633,0.0275354572823348,0.00250322338930317
"AGXLZ",2023,327,2023-07-17,"EC, HL",0,0,18,1,1,2,7,1,NA,1,1,NA,NA,1,NA,1,0,0,1,20,NA,0.0314159265358979,NA,40.7150407905237,11,11,3,NA,NA,0.466850165968275,1.46685016596827,NA,0.0245609480080085,NA,NA,0.0245609480080085,0.0360272306618855,0.0909090909090909,NA,NA,0.0909090909090909,0.133350015088025,0.0022328134552735,NA,NA,0.0022328134552735,0.00327520278744414
"AHQT",2018,229,2018-07-06,NA,0,0,0,0,NA,NA,NA,2,NA,10,1,4.9,75.4296396126909,3,0,10,0,2,8,39.9,30.0714285714286,0.517801228155487,0.00686469179508538,75.4296396126909,NA,NA,NA,NA,NA,NA,3,3,0.039772164037958,0,0.039772164037958,0.0265147760253053,0.039772164037958,0.3,0,0.3,2,0.3,0.0039772164037958,0,0.0039772164037958,0.0265147760253053,0.0039772164037958
