"site_code","name","value","year","metric"
"ABEY","SWE.2010",11.8524589538574,2010,"SWE"
"ABEY","SWE.2011",197.245895385742,2011,"SWE"
"ABEY","SWE.2012",0.786885261535645,2012,"SWE"
"ABEY","SWE.2013",64,2013,"SWE"
"ABEY","SWE.2014",191.524597167969,2014,"SWE"
"ABEY","SWE.2015",303.311462402344,2015,"SWE"
"ABEY","SWE.2016",137.065567016602,2016,"SWE"
"ABEY","SWE.2017",201.508193969727,2017,"SWE"
"ABEY","SWE.2018",42,2018,"SWE"
"ABEY","SWE.2019",405.475402832031,2019,"SWE"
"ABEY","SWE.2020",74.1311492919922,2020,"SWE"
"ABEY","SWE.2021",51.3770484924316,2021,"SWE"
"ABEY","SWE.2022",59.0491790771484,2022,"SWE"
"ABEY","SWE.2023",298.426239013672,2023,"SWE"
"ABEY","SWE.2024",256.721313476562,2024,"SWE"
"ABEY","SWE.2025",47.8524589538574,2025,"SWE"
"ABEY","SWE.2026",19.1475410461426,2026,"SWE"
"ABEY","PPT.2010",88.5385893583298,2010,"PPT"
"ABEY","PPT.2011",80.6148473918438,2011,"PPT"
"ABEY","PPT.2012",99.0253749191761,2012,"PPT"
"ABEY","PPT.2013",126.775970757008,2013,"PPT"
"ABEY","PPT.2014",79.2070755362511,2014,"PPT"
"ABEY","PPT.2015",138.294005870819,2015,"PPT"
"ABEY","PPT.2016",94.7800052464008,2016,"PPT"
"ABEY","PPT.2017",96.5600040853024,2017,"PPT"
"ABEY","PPT.2018",37.3980017900467,2018,"PPT"
"ABEY","PPT.2019",58.3030031919479,2019,"PPT"
"ABEY","PPT.2020",45.6020025014877,2020,"PPT"
"ABEY","PPT.2021",115.144000053406,2021,"PPT"
"ABEY","PPT.2022",83.6130005121231,2022,"PPT"
"ABEY","PPT.2023",25.0530000329018,2023,"PPT"
"ABEY","PPT.2024",96.3650000095367,2024,"PPT"
"ABEY","PPT.2025",28.9820000231266,2025,"PPT"
"ABEY","PPT.2026",55.5560000538826,2026,"PPT"
"ABPZ","SWE.2010",22.8852462768555,2010,"SWE"
"ABPZ","SWE.2011",211.11474609375,2011,"SWE"
"ABPZ","SWE.2012",0.508196711540222,2012,"SWE"
"ABPZ","SWE.2013",81.6885223388672,2013,"SWE"
"ABPZ","SWE.2014",85.9344253540039,2014,"SWE"
"ABPZ","SWE.2015",25.4590167999268,2015,"SWE"
"ABPZ","SWE.2016",32.6393432617188,2016,"SWE"
"ABPZ","SWE.2017",150.655731201172,2017,"SWE"
"ABPZ","SWE.2018",11.6065578460693,2018,"SWE"
"ABPZ","SWE.2019",483.475402832031,2019,"SWE"
"ABPZ","SWE.2020",37.163932800293,2020,"SWE"
"ABPZ","SWE.2021",19.2786884307861,2021,"SWE"
"ABPZ","SWE.2022",51.0655746459961,2022,"SWE"
"ABPZ","SWE.2023",243.983612060547,2023,"SWE"
"ABPZ","SWE.2024",154.754104614258,2024,"SWE"
