"","Ploidy_leveltriploid","Ploidy_levelunknown","geneticSexIDmale","geneticSexIDunknown","Cos.aspect","Elevation","prefix_this","minsize","maxsize","n_iterations","size_mean_initial","size_sd_initial","n_S_initial","n_A_initial","size_mean_final","n_A_final","n_S_final","longevity_90_final","n_S_lag_factor","n_S_scale_factor","SWE.mean","Tmax.mean","basal_area_density_final","n_A_final_gt_30_cm","cv_n_A_final_ten","index","pixel","replicate_climate_resample","replicate_data_resample","Ploidy_level","geneticSexID"
"1","0","0","0","0",-0.811225295066833,3083.4375,"map_978_1_1",5,70,300,20,5,4.29594154915336,0.1,7.68668143432811,0.0674468516907004,3.34060877925297,7,0.2,1,48.3446305390212,20.4390106877087,0.000352574572777168,6.26624659828682e-05,0.588452347637216,1,978,1,"1","diploid","female"
"2","0","0","0","0",-0.811225295066833,3083.4375,"map_978_1_2",5,70,300,20,5,3.03671053896041,0.1,10.5496155354935,0.141750734530296,2.62537808544209,11,0.2,1,48.3446305390212,20.4390106877087,0.00174064860653193,0.0047350316432062,0.475347573941199,1,978,1,"2","diploid","female"
"3","0","0","0","0",-0.811225295066833,3083.4375,"map_978_1_3",5,70,300,20,5,6.23695948103502,0.1,6.39769669869234,0.0186695911380939,1.78065409951088,8,0.2,1,48.3446305390212,20.4390106877087,6.43762716624576e-05,6.57288607272581e-08,0.921099675356321,1,978,1,"3","diploid","female"
"4","0","0","0","0",-0.822242736816406,3114.07470703125,"map_979_1_1",5,70,300,20,5,4.31438303259858,0.1,8.21410149584962,0.0558475705165669,3.40872612885881,10,0.2,1,49.8069692757042,20.4360450034918,0.000343162382785175,7.72606950394097e-05,0.659361212542186,2,979,1,"1","diploid","female"
"5","0","0","0","0",-0.822242736816406,3114.07470703125,"map_979_1_2",5,70,300,20,5,3.13451264635542,0.1,12.0073190005805,0.0813873727121835,3.33299390311762,15,0.2,1,49.8069692757042,20.4360450034918,0.00119527383137509,0.0028871197967917,0.659176382671275,2,979,1,"2","diploid","female"
"6","0","0","0","0",-0.822242736816406,3114.07470703125,"map_979_1_3",5,70,300,20,5,6.01766089304108,0.1,6.83483949518013,0.0208345431523893,1.77167632595956,10,0.2,1,49.8069692757042,20.4360450034918,8.32108697943212e-05,3.72065317384806e-07,0.927165089569384,2,979,1,"3","diploid","female"
"7","0","0","0","0",-0.506825804710388,3098.98779296875,"map_2235_1_1",5,70,300,20,5,4.58773986751481,0.1,7.09702700895166,0.150019435564271,4.2063161263511,14,0.2,1,61.7307882087175,21.1292641017656,0.000725998457237236,0.000227877318010364,0.47821221682549,3,2235,1,"1","diploid","female"
"8","0","0","0","0",-0.506825804710388,3098.98779296875,"map_2235_1_2",5,70,300,20,5,4.26069070938667,0.1,9.3256944838933,0.185838364182041,2.76786128434804,14,0.2,1,61.7307882087175,21.1292641017656,0.001674800127665,0.00113801272865582,0.377298630240728,3,2235,1,"2","diploid","female"
"9","0","0","0","0",-0.506825804710388,3098.98779296875,"map_2235_1_3",5,70,300,20,5,5.86998554468432,0.1,5.83975238765195,0.061776828746294,3.12090027947069,16,0.2,1,61.7307882087175,21.1292641017656,0.000179341986760177,1.43252239934847e-06,0.809780587136152,3,2235,1,"3","diploid","female"
"10","0","0","0","0",-0.479843199253082,3196.03735351562,"map_2236_1_1",5,70,300,20,5,4.74642596958301,0.1,9.07979931613313,0.161461879101718,3.4325639786162,22,0.2,1,64.0887070470474,21.1173017402556,0.00126004259882195,0.000800557535251176,0.291699186871283,4,2236,1,"1","diploid","female"
"11","0","0","0","0",-0.479843199253082,3196.03735351562,"map_2236_1_2",5,70,300,20,5,4.73799081039924,0.1,8.19025938820837,0.134243902048523,2.86670373316602,18,0.2,1,64.0887070470474,21.1173017402556,0.000788733135411844,0.000102850338360979,0.479573861597761,4,2236,1,"2","diploid","female"
"12","0","0","0","0",-0.479843199253082,3196.03735351562,"map_2236_1_3",5,70,300,20,5,4.74937098000617,0.1,6.99299849770719,0.040775848465047,3.34825664308122,19,0.2,1,64.0887070470474,21.1173017402556,0.000167632325159827,4.21465447576984e-07,0.702264361572735,4,2236,1,"3","diploid","female"
"13","0","0","0","0",-0.282683879137039,3021.76196289062,"map_2441_1_1",5,70,300,20,5,3.2123851378142,0.1,8.25823504659355,0.0736323855224798,3.77726244149575,5,0.2,1,37.8366233478749,21.7915046413079,0.00047950981018158,8.68964875899719e-05,0.311063028027756,5,2441,1,"1","diploid","female"
"14","0","0","0","0",-0.282683879137039,3021.76196289062,"map_2441_1_2",5,70,300,20,5,5.01259566714568,0.1,9.79607096473638,0.0794989875950365,4.31657110180345,6,0.2,1,37.8366233478749,21.7915046413079,0.000808430064183976,0.000240785510186764,0.37701419484059,5,2441,1,"2","diploid","female"
"15","0","0","0","0",-0.282683879137039,3021.76196289062,"map_2441_1_3",5,70,300,20,5,3.37693464904781,0.1,7.53299010124891,0.0322382801729405,3.35461211228114,5,0.2,1,37.8366233478749,21.7915046413079,0.000160123206162573,1.93012665383975e-06,0.412042952538344,5,2441,1,"3","diploid","female"
"16","0","0","0","0",-0.611876130104065,2994.529296875,"map_2545_1_1",5,70,300,20,5,3.50991407014578,0.1,6.89484867647603,0.100671696776545,2.92065858996219,17,0.2,1,34.4493079534005,21.8311491994763,0.00045727720721719,0.00012027064522176,0.523471158503764,6,2545,1,"1","diploid","female"
"17","0","0","0","0",-0.611876130104065,2994.529296875,"map_2545_1_2",5,70,300,20,5,3.64102610402115,0.1,7.93743831316241,0.107379805644085,3.04032672064649,18,0.2,1,34.4493079534005,21.8311491994763,0.000733958338222809,0.000798948707028997,0.721392999766624,6,2545,1,"2","diploid","female"
"18","0","0","0","0",-0.611876130104065,2994.529296875,"map_2545_1_3",5,70,300,20,5,4.67333679018178,0.1,5.83943781967942,0.0558258080299836,1.96689023001569,21,0.2,1,34.4493079534005,21.8311491994763,0.000161385868460568,6.10187832508118e-08,0.937836037757648,6,2545,1,"3","diploid","female"
"19","0","0","0","0",-0.526411652565002,2959.6474609375,"map_2649_1_1",5,70,300,20,5,2.98870554880631,0.1,7.76409985245411,0.0798337398820129,3.22783306811601,8,0.2,1,36.45054685317,20.9755797613235,0.000417374599437759,7.16019142011294e-05,0.588632129749337,7,2649,1,"1","diploid","female"
"20","0","0","0","0",-0.526411652565002,2959.6474609375,"map_2649_1_2",5,70,300,20,5,3.50842369585971,0.1,9.37992743722891,0.167486809981568,2.84849891379084,20,0.2,1,36.45054685317,20.9755797613235,0.00159698825318348,0.00201617052046371,0.523111603351587,7,2649,1,"2","diploid","female"
"21","0","0","0","0",-0.526411652565002,2959.6474609375,"map_2649_1_3",5,70,300,20,5,3.14759185739904,0.1,6.97082960107126,0.0169507046812086,1.93257138872833,7,0.2,1,36.45054685317,20.9755797613235,6.87630251055233e-05,1.82085207303285e-07,1.01666561519083,7,2649,1,"3","diploid","female"
"22","0","0","0","0",-0.385358780622482,3069.30419921875,"map_2651_1_1",5,70,300,20,5,3.72706325572874,0.1,7.49682904374097,0.14351648679301,3.79564879433974,7,0.2,1,56.276591369084,21.5347712750187,0.000709020095550943,0.000168871929649067,0.332043105765927,8,2651,1,"1","diploid","female"
"23","0","0","0","0",-0.385358780622482,3069.30419921875,"map_2651_1_2",5,70,300,20,5,5.92868706260342,0.1,7.50799860934984,0.178164136432679,3.57466663905107,7,0.2,1,56.276591369084,21.5347712750187,0.000901646511110298,0.000362503847298438,0.4351730962401,8,2651,1,"2","diploid","female"
"24","0","0","0","0",-0.385358780622482,3069.30419921875,"map_2651_1_3",5,70,300,20,5,3.79741075939032,0.1,6.81998835939617,0.0555219935237079,3.51743970491759,5,0.2,1,56.276591369084,21.5347712750187,0.000211947100224487,2.98617797945571e-06,0.65279542446299,8,2651,1,"3","diploid","female"
"25","0","0","0","0",-0.421152800321579,3145.412109375,"map_2652_1_1",5,70,300,20,5,2.14179969075476,0.1,8.31152374429363,0.165716958353188,4.45781009743748,25,0.2,1,56.2593537485877,21.5150359376588,0.00103160146773375,0.00022812154897556,0.550714010281865,9,2652,1,"1","diploid","female"
"26","0","0","0","0",-0.421152800321579,3145.412109375,"map_2652_1_2",5,70,300,20,5,6.80132204591567,0.1,8.607044383856,0.17552281977637,4.02592883227783,18,0.2,1,56.2593537485877,21.5150359376588,0.00110396092685363,6.22662480549893e-05,1.12227856058232,9,2652,1,"2","diploid","female"
"27","0","0","0","0",-0.421152800321579,3145.412109375,"map_2652_1_3",5,70,300,20,5,1.92283544148215,0.1,7.03459237008663,0.10342381989935,3.54110021515321,45,0.2,1,56.2593537485877,21.5150359376588,0.000432321382595861,1.0197155371909e-06,0.804186160789619,9,2652,1,"3","diploid","female"
"28","0","0","0","0",-0.364836037158966,2984.22021484375,"map_2754_1_1",5,70,300,20,5,4.25238488356457,0.1,8.20144412887428,0.184919187819724,3.95845807466883,3,0.2,1,58.3507022485385,21.4825110081686,0.00112224070232747,0.000273469348167786,0.40176935650894,10,2754,1,"1","diploid","female"
"29","0","0","0","0",-0.364836037158966,2984.22021484375,"map_2754_1_2",5,70,300,20,5,4.09564745329514,0.1,8.66423885961763,0.66029737145701,0.814423940535688,6,0.2,1,58.3507022485385,21.4825110081686,0.00452554903139903,0.00337430969173373,0.358395687681555,10,2754,1,"2","diploid","female"
"30","0","0","0","0",-0.364836037158966,2984.22021484375,"map_2754_1_3",5,70,300,20,5,5.20967010882852,0.1,6.24909976284088,0.0954243435105979,2.58418282684702,2,0.2,1,58.3507022485385,21.4825110081686,0.00031557158045383,5.25337528414758e-06,0.847801567194149,10,2754,1,"3","diploid","female"
"31","0","0","0","0",-0.457350522279739,3038.85693359375,"map_2755_1_1",5,70,300,20,5,4.16746612936191,0.1,8.074432900524,0.110758792631445,4.0582867107467,24,0.2,1,56.7150478814527,21.5408620939962,0.000661350559694442,0.000158549067519154,0.370950308323767,11,2755,1,"1","diploid","female"
"32","0","0","0","0",-0.457350522279739,3038.85693359375,"map_2755_1_2",5,70,300,20,5,4.27964330299559,0.1,9.71979035553632,0.14018025661482,4.01063659797509,29,0.2,1,56.7150478814527,21.5408620939962,0.00139879514232794,0.00205354801838393,0.518656010752311,11,2755,1,"2","diploid","female"
"33","0","0","0","0",-0.457350522279739,3038.85693359375,"map_2755_1_3",5,70,300,20,5,5.37356206388545,0.1,6.92359499852649,0.0639243729619639,3.15941207238401,50,0.2,1,56.7150478814527,21.5408620939962,0.000256873896696787,1.11640529882875e-06,0.665149138509078,11,2755,1,"3","diploid","female"
"34","0","0","0","0",-0.486126601696014,3019.85473632812,"map_2859_1_1",5,70,300,20,5,1.93319458180314,0.1,8.06945350856272,0.15830583881369,3.73058150762245,3,0.2,1,60.3371544929834,21.4740015824108,0.000985534287078621,0.000243855776128254,0.320901914226735,12,2859,1,"1","diploid","female"
"35","0","0","0","0",-0.486126601696014,3019.85473632812,"map_2859_1_2",5,70,300,20,5,5.48449058342543,0.1,9.22209216218009,0.20596654124667,3.42641297665853,3,0.2,1,60.3371544929834,21.4740015824108,0.001820307652433,0.000908478162855622,0.343686266489361,12,2859,1,"2","diploid","female"
"36","0","0","0","0",-0.486126601696014,3019.85473632812,"map_2859_1_3",5,70,300,20,5,2.01800920751534,0.1,6.85186726925592,0.0817794819375777,3.31823088895969,2,0.2,1,60.3371544929834,21.4740015824108,0.000325785592694243,2.74109140418131e-06,0.668170785100931,12,2859,1,"3","diploid","female"
"37","0","0","0","0",-0.634523153305054,3053.2119140625,"map_2860_1_1",5,70,300,20,5,3.1135304458897,0.1,8.42098728020985,0.0641883311067832,3.13958213834347,45,0.2,1,57.649964247035,21.503315000439,0.000420541689932524,0.000182444486927192,0.766075881084663,13,2860,1,"1","diploid","female"
"38","0","0","0","0",-0.634523153305054,3053.2119140625,"map_2860_1_2",5,70,300,20,5,4.92850566423486,0.1,9.72245019803339,0.18289735849444,2.57494111670676,130,0.2,1,57.649964247035,21.503315000439,0.00165434207383024,0.0028022509317713,0.89767044384162,13,2860,1,"2","diploid","female"
"39","0","0","0","0",-0.634523153305054,3053.2119140625,"map_2860_1_3",5,70,300,20,5,3.42913656055131,0.1,6.66764367447894,0.0229602408876014,2.20985537149746,126,0.2,1,57.649964247035,21.503315000439,8.86132001843042e-05,5.74788866127569e-07,1.10739679653954,13,2860,1,"3","diploid","female"
