"","Ploidy_leveltriploid","Ploidy_levelunknown","geneticSexIDmale","geneticSexIDunknown","Cos.aspect","Elevation","delta_years","n_S","n_R","prefix_this","minsize","maxsize","n_iterations","n_S_lag_factor","n_S_scale_factor","SWE.mean","Tmax.mean","size_mean_initial","size_sd_initial","n_A_initial","n_S_initial","n_R_initial","size_mean_final_ten","n_A_final_ten","n_S_final_ten","n_R_final_ten","longevity_90_final_ten","basal_area_density_final_ten","index","pixel","replicate_climate_resample","replicate_data_resample","Ploidy_level","geneticSexID"
"1","0","0","0","0",-0.811225295066833,3083.4375,2.5,8.1838065712946e-19,0,"map_978_1_1",4,60,500,0.2,1,52.6229122458818,22.4596119637657,20,5,0.1,0.115561282875194,0,50.7272793461787,2.71401289395032e-19,1.34573234781556e-18,0,28.4545454545455,5.48609688536263e-20,1,978,1,"1","diploid","female"
"2","0","0","0","0",-0.811225295066833,3083.4375,2.5,4.16423388704552e-21,0,"map_978_1_2",4,60,500,0.2,1,52.6229122458818,22.4596119637657,20,5,0.1,0.129195139616157,0,50.9073726123539,1.37826450163579e-21,7.05356707925337e-21,0,25.2727272727273,2.80572591427359e-22,1,978,1,"2","diploid","female"
"3","0","0","0","0",-0.811225295066833,3083.4375,2.5,0.0524200264250793,0,"map_978_1_3",4,60,500,0.2,1,52.6229122458818,22.4596119637657,20,5,0.1,0.0569020243931442,0.00909689694277232,17.7680995878375,0.0366772713484512,0.0505195589073483,0.00178720702085971,38.4545454545455,0.00137585924409103,1,978,1,"3","diploid","female"
"4","0","0","0","0",-0.811225295066833,3083.4375,2.5,7.87039675109216e-21,0,"map_978_1_4",4,60,500,0.2,1,52.6229122458818,22.4596119637657,20,5,0.1,0.125070727968687,0,50.8240505306454,2.6488401434855e-21,1.32114455658095e-20,0,11.2727272727273,5.37455894865769e-22,1,978,1,"4","diploid","female"
"5","0","0","0","0",-0.811225295066833,3083.4375,2.5,0.0502939377283974,0.00506204158471468,"map_978_1_5",4,60,500,0.2,1,52.6229122458818,22.4596119637657,20,5,0.1,0.038956443815949,0.0037087450867543,12.7159401719051,0.0468648530951681,0.0496453368104982,0.0044023291890621,21.8181818181818,0.000974817831415957,1,978,1,"5","diploid","female"
"6","0","0","0","0",-0.811225295066833,3083.4375,2.5,0.102047469390603,0.0064545387254824,"map_978_1_6",4,60,500,0.2,1,52.6229122458818,22.4596119637657,20,5,0.1,0.0873335141323941,0.00706966382916395,15.7940513575932,0.0625067040407152,0.101349263693424,0.00446939575345601,32.2727272727273,0.00187127599215341,1,978,1,"6","diploid","female"
"7","0","0","0","0",-0.811225295066833,3083.4375,2.5,0.0870376264633094,0,"map_978_1_7",4,60,500,0.2,1,52.6229122458818,22.4596119637657,20,5,0.1,0.0731861178805222,0.00525869107200987,19.3274863738135,0.0647050902909416,0.0855032281336093,0.00276699666049917,50.0909090909091,0.00288319788219496,1,978,1,"7","diploid","female"
"8","0","0","0","0",-0.811225295066833,3083.4375,2.5,1.30435969147395e-19,0,"map_978_1_8",4,60,500,0.2,1,52.6229122458818,22.4596119637657,20,5,0.1,0.0951164821092416,0,50.824950737442,4.99643918855699e-20,2.15501362281362e-19,0,34.1818181818182,1.01385175391114e-20,1,978,1,"8","diploid","female"
"9","0","0","0","0",-0.811225295066833,3083.4375,2.5,1.52337916515932e-19,0,"map_978_1_9",4,60,500,0.2,1,52.6229122458818,22.4596119637657,20,5,0.1,0.105805798680815,0,50.8503711947123,4.70450715938881e-20,2.51978571017448e-19,0,52.9090909090909,9.55535295765842e-21,1,978,1,"9","diploid","female"
"10","0","0","0","0",-0.811225295066833,3083.4375,2.5,0.0138125445830096,0,"map_978_1_10",4,60,500,0.2,1,52.6229122458818,22.4596119637657,20,5,0.1,0.0766727749075562,0,16.2577367496471,0.0066216458342315,0.0126755273146481,0.000350501187285149,29.3636363636364,0.000211694800948031,1,978,1,"10","diploid","female"
"11","0","0","0","0",-0.811225295066833,3083.4375,2.5,7.48019085574516e-19,0,"map_978_2_1",4,60,500,0.2,1,53.9923701406239,22.4643859482573,20,5,0.1,0.140251938242407,0,50.7292952525633,2.55588115058846e-19,1.24008190091373e-18,0,26.8181818181818,5.1667656064367e-20,2,978,2,"1","diploid","female"
"12","0","0","0","0",-0.811225295066833,3083.4375,2.5,4.18273080703965e-21,0,"map_978_2_2",4,60,500,0.2,1,53.9923701406239,22.4643859482573,20,5,0.1,0.154159317062372,0,50.9171874664065,1.41669037644956e-21,7.14193442532547e-21,0,21,2.884934497993e-22,2,978,2,"2","diploid","female"
"13","0","0","0","0",-0.811225295066833,3083.4375,2.5,0.0519062712843986,0.00617314066130191,"map_978_2_3",4,60,500,0.2,1,53.9923701406239,22.4643859482573,20,5,0.1,0.0915850953154191,0,16.5255018054844,0.0429414715823196,0.0540148064786678,0.00311382848491351,35.5454545454545,0.00142694428702392,2,978,2,"3","diploid","female"
"14","0","0","0","0",-0.811225295066833,3083.4375,2.5,7.89307527653818e-21,0,"map_978_2_4",4,60,500,0.2,1,53.9923701406239,22.4643859482573,20,5,0.1,0.155309913660808,0,50.8351792621657,2.69883852888323e-21,1.330191815224e-20,0,10.6363636363636,5.47818525449913e-22,2,978,2,"4","diploid","female"
"15","0","0","0","0",-0.811225295066833,3083.4375,2.5,0.045647449175432,0.00253563451637449,"map_978_2_5",4,60,500,0.2,1,53.9923701406239,22.4643859482573,20,5,0.1,0.0705784030677366,0.00694024698454275,13.7790296776193,0.0488299537118749,0.0484455189263844,0.00424238494138386,21.6363636363636,0.00120497657308271,2,978,2,"5","diploid","female"
"16","0","0","0","0",-0.811225295066833,3083.4375,2.5,0.0952326854561439,0.00558413520413759,"map_978_2_6",4,60,500,0.2,1,53.9923701406239,22.4643859482573,20,5,0.1,0.122401723897274,0.00851217931465035,14.9971718481491,0.0643413587114309,0.0969802291440252,0.00494191394743022,29.5454545454545,0.0017962903267799,2,978,2,"6","diploid","female"
"17","0","0","0","0",-0.811225295066833,3083.4375,2.5,0.0788359362743052,0.00420279837337132,"map_978_2_7",4,60,500,0.2,1,53.9923701406239,22.4643859482573,20,5,0.1,0.104453837941241,0,18.5209929765738,0.0648006022523042,0.0817239397186748,0.003782449280993,46.9090909090909,0.00268627471995818,2,978,2,"7","diploid","female"
