"replicate","geneticSexIDM","Ploidy_levelTriploid","n_medium_trees","Cos.aspect","Elevation","lambda"
1,"0","0",0,-1,2800,0.958871722299912
2,"0","0",0,-1,2800,0.936815947410599
3,"0","0",0,-1,2800,0.98228670609688
4,"0","0",0,-1,2800,0.898424753602465
5,"0","0",0,-1,2800,0.985133668850388
6,"0","0",0,-1,2800,0.998791282004355
7,"0","0",0,-1,2800,0.992655219886571
8,"0","0",0,-1,2800,0.918389350618476
9,"0","0",0,-1,2800,0.896518219215395
10,"0","0",0,-1,2800,0.999911631305009
1,"1","0",0,-1,2800,1
2,"1","0",0,-1,2800,1.00000000000031
3,"1","0",0,-1,2800,1.00000000015088
4,"1","0",0,-1,2800,1.00000000000012
5,"1","0",0,-1,2800,1
6,"1","0",0,-1,2800,1.00001257338619
7,"1","0",0,-1,2800,1
8,"1","0",0,-1,2800,1
9,"1","0",0,-1,2800,0.97278619004704
10,"1","0",0,-1,2800,1.00000000000001
1,"0","1",0,-1,2800,0.88129391983411
2,"0","1",0,-1,2800,0.89848890150335
3,"0","1",0,-1,2800,0.940956696252905
4,"0","1",0,-1,2800,0.769167227664332
5,"0","1",0,-1,2800,0.936379194760315
6,"0","1",0,-1,2800,1.00000015155613
7,"0","1",0,-1,2800,0.913176983108885
8,"0","1",0,-1,2800,0.885914165621706
9,"0","1",0,-1,2800,0.951807778923062
10,"0","1",0,-1,2800,0.999340532150537
1,"1","1",0,-1,2800,1
2,"1","1",0,-1,2800,0.999996135306333
3,"1","1",0,-1,2800,0.999999718131427
4,"1","1",0,-1,2800,0.930424189160237
5,"1","1",0,-1,2800,0.999999999999315
6,"1","1",0,-1,2800,1
7,"1","1",0,-1,2800,1.00028573362312
8,"1","1",0,-1,2800,0.991911090339398
9,"1","1",0,-1,2800,NA
10,"1","1",0,-1,2800,1
1,"0","0",5,-1,2800,1
2,"0","0",5,-1,2800,0.99998808645424
3,"0","0",5,-1,2800,1.00000003361136
4,"0","0",5,-1,2800,0.999969817273048
5,"0","0",5,-1,2800,1.0000034008422
6,"0","0",5,-1,2800,1.00047434330419
7,"0","0",5,-1,2800,0.991347423523963
8,"0","0",5,-1,2800,0.920692217477284
9,"0","0",5,-1,2800,0.972135067009419
10,"0","0",5,-1,2800,1
1,"1","0",5,-1,2800,1
