"geneticSexID","Ploidy_level","n_medium_trees","Cos.aspect","population_density_m2","size_mean","size_sd","site_code","site_type","year","replicate","lambda","X.UTM","Y.UTM","Watershed","Elevation","Slope","Canopy_openness","Summer.Insolation","Soil.type"
NA,"Triploid",0,-0.776137067408586,0.109159768924482,11.5,6.99961767550515,"ABPZ","grid",2018,1,NA,327109.631529365,4309967.83848618,"Washington Gulch-Slate River",3014.48465732445,19.093112154201,3,23.0928077697754,"Soil"
NA,"Triploid",0,-0.776137067408586,0.109159768924482,11.5,6.99961767550515,"ABPZ","grid",2018,2,NA,327109.631529365,4309967.83848618,"Washington Gulch-Slate River",3014.48465732445,19.093112154201,3,23.0928077697754,"Soil"
NA,"Triploid",0,-0.776137067408586,0.109159768924482,11.5,6.99961767550515,"ABPZ","grid",2018,3,NA,327109.631529365,4309967.83848618,"Washington Gulch-Slate River",3014.48465732445,19.093112154201,3,23.0928077697754,"Soil"
NA,"Triploid",0,-0.776137067408586,0.109159768924482,11.5,6.99961767550515,"ABPZ","grid",2018,4,NA,327109.631529365,4309967.83848618,"Washington Gulch-Slate River",3014.48465732445,19.093112154201,3,23.0928077697754,"Soil"
NA,"Triploid",0,-0.776137067408586,0.109159768924482,11.5,6.99961767550515,"ABPZ","grid",2018,5,NA,327109.631529365,4309967.83848618,"Washington Gulch-Slate River",3014.48465732445,19.093112154201,3,23.0928077697754,"Soil"
NA,"Triploid",0,-0.776137067408586,0.109159768924482,11.5,6.99961767550515,"ABPZ","grid",2018,6,NA,327109.631529365,4309967.83848618,"Washington Gulch-Slate River",3014.48465732445,19.093112154201,3,23.0928077697754,"Soil"
NA,"Triploid",0,-0.776137067408586,0.109159768924482,11.5,6.99961767550515,"ABPZ","grid",2018,7,NA,327109.631529365,4309967.83848618,"Washington Gulch-Slate River",3014.48465732445,19.093112154201,3,23.0928077697754,"Soil"
NA,"Triploid",0,-0.776137067408586,0.109159768924482,11.5,6.99961767550515,"ABPZ","grid",2018,8,NA,327109.631529365,4309967.83848618,"Washington Gulch-Slate River",3014.48465732445,19.093112154201,3,23.0928077697754,"Soil"
NA,"Triploid",0,-0.776137067408586,0.109159768924482,11.5,6.99961767550515,"ABPZ","grid",2018,9,NA,327109.631529365,4309967.83848618,"Washington Gulch-Slate River",3014.48465732445,19.093112154201,3,23.0928077697754,"Soil"
NA,"Triploid",0,-0.776137067408586,0.109159768924482,11.5,6.99961767550515,"ABPZ","grid",2018,10,NA,327109.631529365,4309967.83848618,"Washington Gulch-Slate River",3014.48465732445,19.093112154201,3,23.0928077697754,"Soil"
"F","Triploid",0,-0.636077716367705,0.101501876971872,17.1,6.99961767550515,"ABVE","grid",2018,1,0.928435367753096,324613.034874096,4308590.77231573,"Oh-be-Joyful Creek-Slate River",2776.85586725337,24.1109831899576,5,22.6224727630615,"Talus"
