"Ploidy_level","Ploidy_levelunknown","geneticSexID","geneticSexIDunknown","Cos.aspect","Elevation","delta_t","n_S","n_R","prefix_this","minsize","maxsize","n_iterations","n_S_lag_factor","n_S_scale_factor","SWE.mean","PPT.mean","size_mean_initial","size_sd_initial","n_A_initial","n_S_initial","n_R_initial","size_mean_final_average","n_A_final_average","n_S_final_average","n_R_final_average","longevity_90_final_average","basal_area_density_final_average","index"
"diploid","0","female","0",-1,2800,2.5,3.49538836127992e-06,0,"param_sweep_1_1",4,60,500,0.2,1,54.1779025540226,82.5517863758523,18.5003819856385,9.41873709584272,0.158638306629479,0,0,35.5225329268963,6.17704733323005e-05,0.00437090288887349,4.24447310236001e-06,35,1.41961895887106e-06,1
"diploid","0","female","0",-1,2800,2.5,0.112936289622785,0,"param_sweep_1_2",4,60,500,0.2,1,54.1779025540226,82.5517863758523,18.5003819856385,9.41873709584272,0.158638306629479,0.281535505173896,0.00582350239386821,19.8253975890624,0.0152284991094142,0.1093450070928,0.00067285691385307,60,0.000552630852238389,1
"diploid","0","female","0",-1,2800,2.5,0.1314175039509,0,"param_sweep_1_3",4,60,500,0.2,1,54.1779025540226,82.5517863758523,18.5003819856385,9.41873709584272,0.158638306629479,0.283401534132226,0.00310620052464112,13.9239002706719,0.0275457378347861,0.132530230745351,0.00170293890790859,38,0.000537536813763822,1
"diploid","0","female","0",-1,2800,2.5,4.52581783427845e-15,0,"param_sweep_1_4",4,60,500,0.2,1,54.1779025540226,82.5517863758523,18.5003819856385,9.41873709584272,0.158638306629479,0,0,35.8301648645333,0.000485674576181361,0.000596264418057646,3.9681434417506e-05,23,6.13231837868194e-06,1
"diploid","0","female","0",-1,2800,2.5,1.69113517076321e-06,0,"param_sweep_1_5",4,60,500,0.2,1,54.1779025540226,82.5517863758523,18.5003819856385,9.41873709584272,0.158638306629479,0,0,49.3266551950028,4.46144651356717e-20,0.000897755616353772,0,25,8.47991725696917e-21,1
"diploid","0","female","0",-1,2800,2.5,0.153263113525254,0.00992479668282354,"param_sweep_1_6",4,60,500,0.2,1,54.1779025540226,82.5517863758523,18.5003819856385,9.41873709584272,0.158638306629479,0.239117776106936,0.00271036200424252,17.114958463994,0.119989151451654,0.129892562158624,0.00501196718578666,69,0.00384197054475833,1
"diploid","0","female","0",-1,2800,2.5,0.00111779586308623,0.000334111739116012,"param_sweep_1_7",4,60,500,0.2,1,54.1779025540226,82.5517863758523,18.5003819856385,9.41873709584272,0.158638306629479,0,0,17.8671246352877,0.0275153242413698,0.016495293244143,0.00109561084630032,64,0.00096193338344041,1
"diploid","0","female","0",-1,2800,2.5,0,0,"param_sweep_1_8",4,60,500,0.2,1,54.1779025540226,82.5517863758523,18.5003819856385,9.41873709584272,0.158638306629479,0,0,49.6011587081032,2.24267896311156e-24,0,0,25,4.32648836446014e-25,1
"diploid","0","female","0",-1,2800,2.5,0.0989342769877181,0,"param_sweep_1_9",4,60,500,0.2,1,54.1779025540226,82.5517863758523,18.5003819856385,9.41873709584272,0.158638306629479,0,0,16.2939776411632,0.00933771341060048,0.095698863697173,0.00051424300201171,44,0.00023436033703858,1
"diploid","0","female","0",-1,2800,2.5,3.04406640044745e-15,5.01908894284453e-16,"param_sweep_1_10",4,60,500,0.2,1,54.1779025540226,82.5517863758523,18.5003819856385,9.41873709584272,0.158638306629479,0,0,37.695126852381,0.000264735465942773,0.000401055018972339,1.59718156645539e-05,34,6.69503138322611e-06,1
"diploid","0","male","0",-1,2800,2.5,2.85328334672995e-06,2.9833502548446e-07,"param_sweep_2_1",4,60,500,0.2,1,54.1779025540226,82.5517863758523,18.5003819856385,9.41873709584272,0.158638306629479,0,0,17.3901001983786,0.0261454064436418,0.00645305847555753,0.00119477488605255,53,0.000683239432464922,2
"diploid","0","male","0",-1,2800,2.5,0.111985851400887,0.00974094621962452,"param_sweep_2_2",4,60,500,0.2,1,54.1779025540226,82.5517863758523,18.5003819856385,9.41873709584272,0.158638306629479,0.282732008856122,0.00472945116577571,14.6498259770115,0.650334055710006,0.111178944563949,0.0138235224847477,102,0.015498822778737,2
"diploid","0","male","0",-1,2800,2.5,0.121823952990875,0.0075900713415852,"param_sweep_2_3",4,60,500,0.2,1,54.1779025540226,82.5517863758523,18.5003819856385,9.41873709584272,0.158638306629479,0.263834430931712,0.00339423094611367,12.7741193425417,0.141852842841849,0.12300316926869,0.00692031020440763,49,0.00248699765518061,2
